번호,인허가일자,상세영업상태코드,폐업일자,소재지우편번호,소재지전체주소,도로명전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,좌표정보(x),좌표정보(y),다중이용업소여부,시설총규모
1,19810807,1,,608828,부산광역시 남구 문현동 247-9번지,부산광역시 남구 수영로 42 (문현동),대암커피숍,2.01603E+13,I,2018-08-31 23:59:59.0,388790.9419,183877.5966,Y,85.64
2,20160601,1,,,부산광역시 기장군 정관읍 방곡리 268-4번지,부산광역시 기장군 정관읍 정관덕산길 31,바링고빈스,2.01606E+13,I,2018-08-31 23:59:59.0,398454.7522,204797.803,N,86
8,20180213,1,,604823,부산광역시 사하구 다대동 939-24번지,"부산광역시 사하구 윤공단로56번길 51, 2층 (다대동)",바리스타들의놀이터,2.01804E+13,I,2018-08-31 23:59:59.0,379645.8569,175071.0371,N,158.8
13,19970724,1,,609849,부산광역시 금정구 서동 200-15,부산광역시 금정구 서동중심로 48 (서동),황제커피숍,2.02101E+13,U,2021-01-31 02:40:00.0,391518.0805,192520.2562,N,42.67
14,19990423,1,,607837,부산광역시 동래구 온천동 1439-7번지,부산광역시 동래구 충렬대로 157-1 (온천동),하나커피솝,2.01905E+13,U,2019-05-31 02:40:00.0,389130.2887,191493.9979,N,57.69
15,20140224,1,,609839,부산광역시 금정구 장전동 420-2,"부산광역시 금정구 금강로 260-2, 1,2,3층 (장전동)",투썸플레이스부산대정문점,2.02009E+13,U,2020-09-20 02:40:00.0,389763.6774,194440.5001,Y,314.38
16,20140228,1,,609836,부산광역시 금정구 장전동 116-21,"부산광역시 금정구 금강로 361, 3층 (장전동)",보나단헤어엔카페,2.02008E+13,U,2020-08-09 02:40:00.0,389834.383,195441.4902,N,8
17,20140228,1,,609824,부산광역시 금정구 부곡동 873-5번지,부산광역시 금정구 오시게로 22-1 (부곡동),노스커피본점,2.01807E+13,I,2018-08-31 23:59:59.0,389913.7276,193140.5,N,133.05
19,20160616,1,,619951,부산광역시 기장군 장안읍 기룡리 351-1번지,부산광역시 기장군 장안읍 고무로 4,힐링펫,2.0191E+13,U,2019-10-16 02:40:00.0,405110.3701,207739.7036,N,130
23,20140307,1,,609815,부산광역시 금정구 남산동 857-1,"부산광역시 금정구 금샘로485번길 65, G동 H102호 (남산동, 부산외국어대학교)",재)부산외대발전기금 도서관카페,2.02011E+13,U,2020-11-18 02:40:00.0,389087.1316,198411.0055,N,19.78
24,19810202,1,,608827,부산광역시 남구 문현동 760-35 760-36,"부산광역시 남구 문현금융로 1-1 (문현동,760-36)",둥지,2.02101E+13,U,2021-01-29 02:40:00.0,388111.9781,184593.0096,N,37.77
26,20150714,1,,619906,부산광역시 기장군 기장읍 죽성리 281-1번지,"부산광역시 기장군 기장읍 두호길 8-26, 1층",JY COFFEE ROASTERS(제이와이 커피로스터스),2.01807E+13,I,2018-08-31 23:59:59.0,404129.2876,195734.4296,N,50
28,20090112,1,,607804,부산광역시 동래구 명륜동 533-79번지,부산광역시 동래구 충렬대로 175 (명륜동),대동커피숍,2.01604E+13,I,2018-08-31 23:59:59.0,389287.0354,191409.5943,N,52.39
30,20090914,1,,607835,부산광역시 동래구 온천동 707-1,"부산광역시 동래구 중앙대로1367번길 25, 1층 (온천동)",컴포즈커피 동래롯데점,2.02102E+13,U,2021-02-25 02:40:00.0,388901.9948,192048.5587,N,49.85
33,20140321,1,,609838,부산광역시 금정구 장전동 392-18,"부산광역시 금정구 장전온천천로 93, 1~2층 (장전동)",부산커피(Busan coffee),2.02011E+13,U,2020-11-29 02:40:00.0,390177.7059,194976.5078,Y,245.72
35,20161221,1,,604844,부산광역시 사하구 장림동 198-1번지,부산광역시 사하구 장림로 222 (장림동),투썸플레이스 장림점,2.01908E+13,U,2019-08-31 02:40:00.0,379902.0728,177686.0077,N,357.87
37,20150824,1,,,부산광역시 기장군 정관읍 매학리 712-3번지 광장아울렛 108호,"부산광역시 기장군 정관읍 정관7로 3, 108호 (광장아울렛)",더벤티 정관점,2.01907E+13,U,2019-07-03 02:40:00.0,397799.9293,204727.1312,N,39.97
41,20151026,1,,,부산광역시 기장군 정관읍 매학리 714-10 동오A타워105호,부산광역시 기장군 정관읍 정관7로 17-3 (동오A타워105호),빽다방부산정관동오점,2.02007E+13,U,2020-07-08 02:40:00.0,397893.283,204678.4268,N,38.38
42,20160715,1,,,부산광역시 기장군 정관읍 용수리 1329-4,부산광역시 기장군 정관읍 정관로 501-13,MW커피로스터즈,2.0201E+13,U,2020-10-23 02:40:00.0,397384.9514,205093.8466,N,66.19
45,20151026,1,,,부산광역시 기장군 정관읍 달산리 1004-7번지 1층,"부산광역시 기장군 정관읍 달산4길 84, 1층",by Bin(바이빈),2.0151E+13,I,2018-08-31 23:59:59.0,398147.6126,204170.4862,N,62.34
46,20151028,1,,,부산광역시 기장군 정관읍 매학리 717-3번지 505호,"부산광역시 기장군 정관읍 정관로 583, 505호",비전위드카페,2.01702E+13,I,2018-08-31 23:59:59.0,397967.1708,204592.4916,Y,139.68
47,20151120,1,,619903,부산광역시 기장군 기장읍 대라리 56-9번지,부산광역시 기장군 기장읍 차성로288번길 50,이디야,2.01806E+13,I,2018-08-31 23:59:59.0,401668.4496,195984.9275,N,43.32
49,20161227,1,,604828,부산광역시 사하구 당리동 317-44,부산광역시 사하구 낙동대로398번길 6 (당리동),텐퍼센트,2.02104E+13,U,2021-04-10 02:40:00.0,380019.2408,180069.8054,N,22.7
53,20170203,1,,604811,부산광역시 사하구 괴정동 955-2번지 외2필지,"부산광역시 사하구 사하로 184, 1층 (괴정동)",메가커피괴정역점,2.02003E+13,U,2020-03-06 02:40:00.0,381763.8349,179500.5598,N,29.97
55,20150723,1,,619952,부산광역시 기장군 장안읍 길천리 212-1번지,"부산광역시 기장군 장안읍 해맞이로 427, 103호",카페마루,2.01901E+13,U,2019-01-08 02:40:00.0,407446.4169,205750.82,N,60.68
