N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"73,200",900,-1.21%,100,"4,369,881","5,969,783",51.86,"8,928,352",15.41,9.99,
2,SK하이닉스,"100,500","2,500",-2.43%,"5,000","731,642","728,002",47.13,"1,552,583",12.57,9.53,
3,NAVER,"382,500","5,500",-1.42%,100,"628,307","164,263",56.58,"246,523",3.81,15.22,
4,삼성바이오로직스,"873,000","1,000",-0.11%,"2,500","577,620","66,165",10.55,"32,558",172.53,N/A,
5,삼성전자우,"68,200","1,400",-2.01%,100,"561,209","822,887",75.05,"1,237,872",14.36,N/A,
6,LG화학,"770,000","6,000",-0.77%,"5,000","543,561","70,592",46.61,"133,306",20.74,2.93,
7,카카오,"116,500","1,500",-1.27%,100,"518,416","444,992",30.35,"1,416,567",108.57,2.70,
8,삼성SDI,"707,000","11,000",-1.53%,"5,000","486,165","68,765",44.94,"119,270",52.38,4.54,
9,현대차,"194,000","6,000",-3.00%,"5,000","414,516","213,668",28.53,"691,783",14.05,2.04,
10,셀트리온,"251,000","8,500",-3.28%,"1,000","346,216","137,935",20.63,"573,602",58.85,16.68,
11,기아,"79,200","2,000",-2.46%,"5,000","321,048","405,363",34.56,"885,388",9.24,5.05,
12,카카오뱅크,"66,200","2,200",-3.22%,"5,000","314,516","475,100",5.67,"880,411",214.24,5.08,
13,POSCO,"324,000","6,000",-1.82%,"5,000","282,485","87,187",55.02,"210,929",7.33,3.61,
14,크래프톤,"502,000",0,0.00%,100,"245,736","48,951",6.18,"103,089",43.22,61.86,
15,SK이노베이션,"261,000","4,000",-1.51%,"5,000","241,335","92,466",24.27,"253,077",-54.07,-13.58,
16,현대모비스,"250,000","3,000",-1.19%,"5,000","236,983","94,793",35.02,"147,310",10.73,4.66,
17,SK텔레콤,"327,000","3,000",+0.93%,500,"235,637","72,060",44.48,"196,990",12.41,6.44,
18,KB금융,"55,000",300,-0.54%,"5,000","228,694","415,808",68.08,"871,571",5.42,8.53,
19,삼성물산,"121,500","2,000",-1.62%,100,"227,068","186,887",15.14,"115,545",13.86,3.81,
20,SK바이오사이언스,"276,500","6,000",+2.22%,500,"211,522","76,500",5.59,"501,079",134.68,13.25,
21,LG생활건강,"1,325,000","12,000",-0.90%,"5,000","206,941","15,618",45.31,"11,935",27.82,17.92,
22,신한지주,"39,900",500,-1.24%,"5,000","206,123","516,600",60.77,"905,367",5.16,8.20,
23,LG전자,"125,500","2,000",-1.57%,"5,000","205,378","163,648",30.28,"655,916",15.18,13.23,
24,SK,"262,000","6,000",-2.24%,200,"184,344","70,360",19.73,"75,705",16.91,1.11,
25,SK아이이테크놀로지,"228,500","2,500",+1.11%,"1,000","162,915","71,298",9.80,"204,236",150.23,11.00,
26,한국전력,"23,550",0,0.00%,"5,000","151,183","641,964",15.04,"984,198",12.68,2.91,
27,LG,"92,700",300,-0.32%,"5,000","145,818","157,301",33.61,"165,098",5.81,7.50,
28,삼성생명,"71,500","1,900",-2.59%,500,"143,000","200,000",13.00,"196,455",8.16,3.53,
29,포스코케미칼,"180,500","3,500",+1.98%,500,"139,821","77,463",8.09,"503,984",130.42,2.96,
30,하나금융지주,"45,950",450,-0.97%,"5,000","137,961","300,242",68.32,"599,743",4.53,8.96,
31,엔씨소프트,"602,000","1,000",-0.17%,500,"132,163","21,954",45.45,"147,810",32.31,20.83,
32,HMM,"32,300","1,400",-4.15%,"5,000","130,942","405,392",9.63,"6,807,602",20.46,8.93,
33,삼성전기,"170,500","7,000",-3.94%,"5,000","127,353","74,694",32.90,"334,612",14.86,10.92,
34,S-Oil,"111,000","1,000",+0.91%,"2,500","124,967","112,583",78.39,"100,001",14.27,-13.07,
35,삼성에스디에스,"159,000","1,500",-0.93%,500,"123,031","77,378",11.50,"49,691",19.09,6.71,
36,대한항공,"33,400",300,-0.89%,"5,000","116,172","347,821",12.70,"1,499,357",17.39,-7.22,
37,하이브,"293,000","5,500",-1.84%,500,"114,419","39,051",16.35,"212,976",104.23,12.52,
38,삼성화재,"234,500",500,-0.21%,500,"111,094","47,375",48.77,"40,052",11.11,4.96,
39,KT&G,"80,900",300,-0.37%,"5,000","111,070","137,292",36.79,"164,359",10.03,13.22,
40,두산중공업,"20,000",550,-2.68%,"5,000","103,314","516,572",9.45,"3,138,274",-47.51,-37.20,
41,현대중공업,"115,000",500,-0.43%,"5,000","102,089","88,773",1.38,"926,446",-10.39,-7.86,
42,아모레퍼시픽,"172,500","6,000",-3.36%,500,"100,900","58,493",32.05,"142,896",80.05,0.78,
43,넷마블,"115,000","3,000",-2.54%,100,"98,847","85,954",22.83,"78,474",34.54,6.35,
44,고려아연,"500,000","3,000",-0.60%,"5,000","94,350","18,870",19.48,"22,244",13.05,8.37,
45,KT,"32,100",500,-1.53%,"5,000","83,817","261,112",44.29,"489,740",9.16,4.76,
46,우리금융지주,"11,450",200,-1.72%,"5,000","83,363","728,061",28.82,"1,201,011",4.00,5.87,
47,한화솔루션,"43,500","1,300",-2.90%,"5,000","83,206","191,278",18.57,"1,039,091",10.79,5.30,
48,롯데케미칼,"239,500","2,000",-0.83%,"5,000","82,090","34,275",26.31,"99,088",6.87,1.22,
