N  종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"69,800",900,-1.27%,100,"4,166,908","5,969,783",51.30,"16,497,812",14.70,9.99,
2,SK하이닉스,"103,000","3,500",-3.29%,"5,000","749,842","728,002",47.27,"3,921,804",12.89,9.53,
3,NAVER,"407,000","6,000",-1.45%,100,"668,552","164,263",56.67,"466,136",4.05,15.22,
4,LG화학,"836,000","14,000",-1.65%,"5,000","590,152","70,592",47.55,"316,232",22.52,2.93,
5,삼성바이오로직스,"871,000","15,000",-1.69%,"2,500","576,297","66,165",10.65,"53,862",172.13,N/A,
6,카카오,"125,500",0,0.00%,100,"558,928","445,361",30.33,"1,872,380",116.96,2.70,
7,삼성전자우,"64,000","1,400",-2.14%,100,"526,647","822,887",74.38,"1,590,805",13.48,N/A,
8,삼성SDI,"734,000","12,000",-1.61%,"5,000","504,732","68,765",45.18,"346,715",54.38,4.54,
9,현대차,"208,000","2,000",-0.95%,"5,000","444,430","213,668",28.76,"616,255",15.07,2.04,
10,기아,"85,100",900,-1.05%,"5,000","344,964","405,363",35.14,"1,901,630",9.93,5.05,
11,카카오뱅크,"63,100","1,500",-2.32%,"5,000","299,788","475,100",5.11,"1,495,503",204.21,5.08,
12,셀트리온,"200,500","15,000",-6.96%,"1,000","276,559","137,935",20.80,"1,478,926",47.01,16.68,
13,POSCO,"296,000","5,000",-1.66%,"5,000","258,073","87,187",54.18,"404,065",6.69,3.61,
14,현대모비스,"252,000","11,500",-4.36%,"5,000","238,879","94,793",34.95,"557,772",10.81,4.66,
15,KB금융,"56,600","1,200",-2.08%,"5,000","235,347","415,808",68.98,"1,574,035",5.58,8.53,
16,크래프톤,"469,500","5,500",-1.16%,100,"229,851","48,957",6.29,"126,205",40.42,61.86,
17,SK이노베이션,"242,500","1,000",-0.41%,"5,000","224,229","92,466",24.86,"415,192",-50.24,-13.58,
18,SK텔레콤,"309,500",0,0.00%,500,"223,026","72,060",43.91,0,11.75,6.44,
19,삼성물산,"114,000","3,000",-2.56%,100,"213,051","186,887",15.21,"542,483",13.00,3.81,
20,신한지주,"38,250",350,-0.91%,"5,000","197,599","516,600",60.87,"1,488,053",4.95,8.20,
21,LG전자,"120,500","1,500",-1.23%,"5,000","197,196","163,648",30.29,"2,287,460",14.58,13.23,
22,LG생활건강,"1,171,000","11,000",-0.93%,"5,000","182,889","15,618",44.39,"112,748",24.59,17.92,
23,SK바이오사이언스,"230,000","15,500",-6.31%,500,"175,950","76,500",6.36,"720,677",112.03,13.25,
24,SK,"243,000","4,000",-1.62%,200,"170,976","70,360",19.10,"142,845",15.68,1.11,
25,한국전력,"22,600",100,-0.44%,"5,000","145,084","641,964",14.76,"1,283,887",12.17,2.91,
26,LG,"91,200",300,-0.33%,"5,000","143,458","157,301",33.81,"249,866",5.71,7.50,
27,엔씨소프트,"627,000","6,000",+0.97%,500,"137,652","21,954",44.60,"135,013",33.66,20.83,
28,하나금융지주,"45,000",350,-0.77%,"5,000","135,109","300,242",68.29,"1,000,605",4.44,8.96,
29,삼성생명,"67,300","1,800",-2.60%,500,"134,600","200,000",12.65,"480,878",7.68,3.53,
30,하이브,"335,000","1,500",+0.45%,500,"130,820","39,051",16.14,"245,884",119.17,12.52,
31,두산중공업,"24,400",200,+0.83%,"5,000","126,564","518,706",9.15,"9,231,202",-57.96,-37.20,
32,삼성전기,"159,000","8,000",-4.79%,"5,000","118,763","74,694",31.38,"940,122",13.86,10.92,
33,SK아이이테크놀로지,"166,500","9,500",-5.40%,"1,000","118,710","71,298",9.34,"430,690",109.47,11.00,
34,삼성에스디에스,"153,000","2,000",-1.29%,500,"118,388","77,378",11.39,"99,409",18.37,6.71,
35,S-Oil,"102,500","1,000",+0.99%,"2,500","115,397","112,583",78.39,"208,299",13.18,-13.07,
36,포스코케미칼,"145,500",0,0.00%,500,"112,709","77,463",7.27,"249,465",105.13,2.96,
37,KT&G,"81,100",400,-0.49%,"5,000","111,344","137,292",36.25,"390,067",10.05,13.22,
38,삼성화재,"231,000","5,000",-2.12%,500,"109,436","47,375",48.76,"129,997",10.94,4.96,
39,HMM,"26,650",0,0.00%,"5,000","108,037","405,392",10.21,"3,627,743",16.88,8.93,
40,아모레퍼시픽,"181,500","4,000",-2.16%,500,"106,164","58,493",31.75,"205,224",84.22,0.78,
41,넷마블,"123,500",0,0.00%,100,"106,153","85,954",23.15,"147,651",37.10,6.35,
