iter	Passed	Remaining
0	5	5867
1	11	5909
2	17	5713
3	22	5683
4	28	5726
5	34	5675
6	39	5636
7	45	5605
8	50	5564
9	55	5534
10	61	5510
11	67	5517
12	72	5509
13	78	5502
14	83	5507
15	89	5483
16	94	5474
17	100	5457
18	105	5469
19	111	5485
20	117	5488
21	123	5478
22	128	5474
23	134	5480
24	140	5471
25	146	5469
26	151	5459
27	157	5459
28	162	5446
29	168	5444
30	173	5436
31	179	5429
32	184	5420
33	190	5406
34	196	5411
35	201	5402
36	207	5398
37	213	5398
38	218	5394
39	224	5382
40	230	5385
41	235	5375
42	241	5369
43	246	5366
44	252	5356
45	258	5354
46	263	5349
47	269	5340
48	274	5335
49	280	5333
50	285	5320
51	307	5600
52	312	5584
53	317	5570
54	323	5564
55	329	5555
56	335	5552
57	340	5536
58	346	5524
59	351	5514
60	357	5502
61	362	5485
62	368	5479
63	374	5470
64	379	5459
65	385	5455
66	391	5446
67	396	5440
68	402	5430
69	407	5419
70	413	5407
71	418	5396
72	424	5387
73	430	5381
74	435	5369
75	441	5365
76	446	5356
77	452	5346
78	458	5347
79	463	5335
80	469	5326
81	475	5318
82	480	5312
83	486	5303
84	492	5299
85	497	5286
86	503	5279
87	508	5271
88	514	5262
89	519	5256
90	525	5247
91	530	5237
92	536	5236
93	542	5230
94	548	5223
95	554	5224
96	560	5215
97	566	5213
98	572	5205
99	577	5194
100	582	5187
101	588	5178
102	593	5169
103	599	5163
104	604	5154
105	610	5147
106	616	5144
107	622	5138
108	627	5131
109	633	5123
110	638	5114
111	644	5108
112	649	5101
113	655	5092
114	660	5084
115	666	5077
116	671	5069
117	677	5061
118	682	5055
119	688	5048
120	693	5041
121	699	5034
122	705	5029
123	711	5026
124	717	5019
125	722	5014
126	728	5007
127	734	5004
128	740	4997
129	745	4991
130	751	4987
131	757	4980
132	762	4973
133	768	4967
134	774	4960
135	779	4951
136	785	4945
137	790	4940
138	797	4940
139	803	4936
140	809	4931
141	815	4929
142	821	4925
143	827	4919
144	833	4914
145	839	4910
146	845	4906
147	851	4902
148	857	4898
149	863	4891
150	869	4887
151	874	4881
152	880	4875
153	886	4867
154	891	4862
155	897	4853
156	903	4848
157	908	4842
158	914	4836
159	920	4831
160	926	4826
161	932	4821
162	937	4813
163	942	4805
164	948	4799
165	953	4792
166	959	4785
167	964	4777
168	969	4769
169	975	4760
170	980	4754
171	985	4746
172	990	4737
173	996	4729
174	1001	4721
175	1006	4713
176	1012	4705
177	1017	4699
178	1022	4691
179	1028	4684
180	1033	4676
181	1038	4669
182	1044	4665
183	1050	4658
184	1056	4653
185	1061	4646
186	1067	4640
187	1072	4634
188	1090	4679
189	1096	4673
190	1101	4665
191	1106	4657
192	1112	4649
193	1117	4642
194	1123	4637
195	1129	4632
196	1134	4625
197	1140	4620
198	1145	4611
199	1151	4605
200	1157	4599
201	1162	4592
202	1167	4584
203	1173	4578
204	1178	4570
205	1184	4565
206	1189	4557
207	1194	4549
208	1200	4542
209	1205	4535
210	1210	4527
211	1216	4520
212	1221	4513
213	1226	4505
214	1231	4498
215	1237	4490
216	1246	4499
217	1251	4490
218	1257	4484
219	1262	4477
220	1268	4469
221	1273	4463
222	1279	4457
223	1284	4449
224	1289	4442
225	1295	4437
226	1300	4429
227	1306	4423
228	1311	4416
229	1316	4408
230	1322	4401
231	1327	4394
232	1332	4387
233	1338	4381
234	1343	4374
235	1348	4366
236	1354	4359
237	1359	4352
238	1365	4346
239	1370	4340
240	1375	4332
241	1380	4325
242	1386	4318
243	1391	4311
244	1396	4304
245	1402	4298
246	1407	4291
247	1413	4284
248	1418	4279
249	1424	4273
250	1430	4268
251	1436	4263
252	1442	4257
253	1447	4251
254	1453	4245
255	1458	4238
256	1463	4232
257	1469	4225
258	1475	4220
259	1480	4213
260	1485	4206
261	1491	4200
262	1497	4195
263	1502	4189
264	1508	4183
265	1513	4176
266	1519	4170
267	1524	4163
268	1529	4156
269	1534	4149
270	1540	4143
271	1545	4135
272	1550	4129
273	1556	4123
274	1561	4117
275	1567	4112
276	1573	4106
277	1578	4099
278	1584	4095
279	1590	4090
280	1595	4083
281	1601	4077
282	1607	4071
283	1613	4067
284	1618	4061
285	1624	4055
286	1629	4048
287	1635	4042
288	1640	4035
289	1645	4029
290	1651	4023
291	1657	4017
292	1662	4011
293	1668	4005
294	1673	3999
295	1679	3993
296	1685	3990
297	1691	3984
298	1696	3977
299	1701	3971
300	1707	3966
301	1713	3959
302	1718	3953
303	1723	3946
304	1729	3940
305	1734	3934
306	1740	3928
307	1745	3922
308	1751	3916
309	1757	3910
310	1762	3904
311	1768	3899
312	1773	3893
313	1779	3888
314	1785	3882
315	1790	3876
316	1796	3869
317	1801	3863
318	1806	3856
319	1811	3850
320	1816	3843
321	1822	3836
322	1827	3830
323	1833	3824
324	1838	3818
325	1844	3812
326	1849	3806
327	1854	3799
328	1859	3793
329	1865	3787
330	1870	3781
331	1876	3775
332	1881	3769
333	1887	3763
334	1893	3757
335	1898	3751
336	1903	3745
337	1909	3739
338	1914	3732
339	1919	3726
340	1925	3720
341	1930	3714
342	1936	3708
343	1940	3700
344	1946	3694
345	1951	3689
346	1956	3682
347	1961	3675
348	1967	3670
349	1973	3664
350	1978	3658
351	1984	3652
352	1989	3646
353	1995	3640
354	2000	3634
355	2005	3628
356	2010	3621
357	2016	3615
358	2021	3609
359	2026	3603
360	2032	3596
361	2037	3590
362	2042	3583
363	2047	3577
364	2052	3571
365	2057	3563
366	2062	3557
367	2067	3551
368	2073	3545
369	2078	3539
370	2084	3533
371	2089	3527
372	2094	3521
373	2100	3516
374	2106	3510
375	2111	3504
376	2116	3498
377	2122	3491
378	2127	3485
379	2132	3480
380	2138	3474
381	2144	3469
382	2149	3462
383	2155	3457
384	2160	3451
385	2165	3445
386	2171	3439
387	2176	3433
388	2181	3427
389	2187	3421
390	2192	3415
391	2197	3408
392	2202	3401
393	2207	3395
394	2212	3388
395	2217	3382
396	2222	3375
397	2227	3369
398	2233	3363
399	2238	3357
400	2243	3350
401	2248	3344
402	2253	3338
403	2259	3332
404	2264	3326
405	2270	3321
406	2275	3315
407	2281	3309
408	2286	3304
409	2292	3298
410	2297	3293
411	2303	3287
412	2308	3281
413	2313	3275
414	2319	3269
415	2324	3263
416	2329	3257
417	2335	3252
418	2344	3250
419	2349	3245
420	2355	3239
421	2361	3233
422	2366	3228
423	2372	3222
424	2377	3217
425	2383	3211
426	2389	3205
427	2395	3200
428	2400	3195
429	2407	3190
430	2412	3184
431	2418	3179
432	2423	3173
433	2429	3168
434	2435	3163
435	2441	3157
436	2446	3151
437	2451	3145
438	2457	3140
439	2462	3134
440	2469	3130
441	2475	3124
442	2480	3119
443	2486	3113
444	2492	3108
445	2497	3102
446	2503	3096
447	2508	3090
448	2513	3085
449	2519	3079
450	2525	3073
451	2530	3068
452	2536	3063
453	2542	3057
454	2547	3051
455	2552	3045
456	2557	3038
457	2563	3033
458	2568	3027
459	2574	3021
460	2579	3016
461	2584	3010
462	2590	3004
463	2595	2997
464	2600	2991
465	2606	2986
466	2611	2980
467	2615	2973
468	2621	2968
469	2626	2962
470	2632	2956
471	2637	2950
472	2643	2944
473	2648	2939
